,fsq_id,link,name,popularity,price,rating,verified,latitude,longitude,total_photos,total_ratings,total_tips
0,58d4650e2f91cb5ccec03447,/v3/places/58d4650e2f91cb5ccec03447,Rorschach Brewing,0.9865003605607636,2.0,8.5,False,43.663372,-79.319902,157.0,50.0,9.0
1,5b3af4f125fb7b0039f9f588,/v3/places/5b3af4f125fb7b0039f9f588,Black Lab Brewing,0.9733307258882629,2.0,9.2,False,43.661871,-79.329063,72.0,36.0,14.0
2,5957bd26d1a40251f53875e5,/v3/places/5957bd26d1a40251f53875e5,Godspeed Brewery,0.9636750308615569,2.0,8.1,False,43.672563,-79.319341,216.0,62.0,11.0
5,568333d5498e400ae0f1a732,/v3/places/568333d5498e400ae0f1a732,Blood Brothers Brewing,0.9714179204810736,2.0,8.9,True,43.669939,-79.436128,212.0,78.0,11.0
9,5753753b498eeb535c53aed5,/v3/places/5753753b498eeb535c53aed5,The Greater Good Bar,0.9531576567217082,2.0,8.9,False,43.669324,-79.439163,53.0,61.0,8.0
12,4a9f21c0f964a520a63c20e3,/v3/places/4a9f21c0f964a520a63c20e3,The 3 Brewers,0.9875331532566581,2.0,7.4,True,43.655472,-79.380321,661.0,618.0,159.0
18,4b5ca7d8f964a5207c3c29e3,/v3/places/4b5ca7d8f964a5207c3c29e3,Beer Bistro,0.9890731755014239,2.0,8.8,True,43.649463,-79.377261,649.0,472.0,130.0
19,4ad4c05cf964a520e3f520e3,/v3/places/4ad4c05cf964a520e3f520e3,C'est What,0.9756590928535634,2.0,8.3,True,43.648393,-79.373445,1190.0,458.0,111.0
20,5a8f505eb6eedb5c284a78ad,/v3/places/5a8f505eb6eedb5c284a78ad,Walrus Pub & Beer Hall,0.9841231040003912,1.0,8.2,False,43.6475,-79.379567,59.0,57.0,9.0
21,4ab2b0b9f964a520e56b20e3,/v3/places/4ab2b0b9f964a520e56b20e3,The Queen and Beaver Public House,0.9684784335773738,2.0,8.5,False,43.65738,-79.38343,226.0,355.0,116.0
24,4add3b20f964a520b16421e3,/v3/places/4add3b20f964a520b16421e3,House on Parliament,0.9693890022855886,1.0,8.9,False,43.663671,-79.367878,237.0,282.0,92.0
25,4a88a344f964a520400720e3,/v3/places/4a88a344f964a520400720e3,O'Grady's Restaurant,0.9727440507473997,2.0,6.7,False,43.664491,-79.380587,201.0,194.0,45.0
26,4ad9ffbbf964a520091d21e3,/v3/places/4ad9ffbbf964a520091d21e3,Jack Astor's,0.9961805003850056,2.0,7.4,True,43.656641,-79.38046,587.0,436.0,112.0
28,4ada0042f964a520111d21e3,/v3/places/4ada0042f964a520111d21e3,Jack Astorâ€™s,0.9833714264761602,2.0,6.9,True,43.670834,-79.386788,248.0,211.0,49.0
29,4ad4c060f964a5206af720e3,/v3/places/4ad4c060f964a5206af720e3,Bangkok Garden Restaurant,0.9544471197917304,3.0,7.1,False,43.657825,-79.382706,34.0,64.0,25.0
31,4ad7bf71f964a5205b0e21e3,/v3/places/4ad7bf71f964a5205b0e21e3,Sin and Redemption,0.9507804001613357,2.0,7.8,False,43.654588,-79.391728,148.0,226.0,60.0
32,4ad4c05ef964a520daf620e3,/v3/places/4ad4c05ef964a520daf620e3,Art Gallery of Ontario,0.993797132625249,2.0,9.2,True,43.653538,-79.392624,2491.0,1564.0,201.0
33,4c747ea4604a370462548049,/v3/places/4c747ea4604a370462548049,Trios Bistro,0.9284867448085361,2.0,6.2,False,43.654605,-79.382988,21.0,16.0,4.0
34,4ae29039f964a520078f21e3,/v3/places/4ae29039f964a520078f21e3,Village Idiot Pub,0.9714118092816896,1.0,6.3,False,43.654366,-79.391693,134.0,144.0,58.0
36,4ade455bf964a520837421e3,/v3/places/4ade455bf964a520837421e3,Harbord House,0.9219110942713618,2.0,8.4,True,43.66245,-79.405607,86.0,82.0,29.0
39,4ad4c05ff964a52006f720e3,/v3/places/4ad4c05ff964a52006f720e3,By the Way Cafe,0.9241844604422064,2.0,7.5,False,43.666005,-79.407671,29.0,50.0,24.0
43,4ade974ef964a520717621e3,/v3/places/4ade974ef964a520717621e3,Pour House Irish Pub,0.9490509307356662,1.0,7.2,True,43.67566,-79.403834,76.0,132.0,48.0
45,5809380538fa964fcc2f75e6,/v3/places/5809380538fa964fcc2f75e6,Eastbound Brewing Co,0.9515626336824865,2.0,8.0,True,43.659005,-79.350118,90.0,31.0,7.0
46,5983a7485c68384bf1e4de8c,/v3/places/5983a7485c68384bf1e4de8c,Saulter Street Brewery,0.9701712358067395,2.0,6.8,False,43.658488,-79.346389,47.0,16.0,5.0
47,4ad79986f964a5209d0c21e3,/v3/places/4ad79986f964a5209d0c21e3,The Roy Public House,0.9559260300426562,2.0,6.9,False,43.660524,-79.343064,86.0,73.0,33.0
53,4ec03c1329c25ce5a22fca40,/v3/places/4ec03c1329c25ce5a22fca40,Ascari Enoteca,0.918959384968894,2.0,8.5,True,43.661973,-79.335438,106.0,62.0,20.0
54,57acc462cd10c32744f2d7cd,/v3/places/57acc462cd10c32744f2d7cd,Radical Road Brewing Co,0.9605583191757214,2.0,7.8,False,43.662519,-79.332532,82.0,33.0,5.0
55,52ec057a11d23d4bcd3e74e7,/v3/places/52ec057a11d23d4bcd3e74e7,Left Field Brewery,0.9777063446472004,2.0,9.2,True,43.673789,-79.330385,237.0,132.0,17.0
56,4aeb26cff964a52009bf21e3,/v3/places/4aeb26cff964a52009bf21e3,The Only Cafe,0.9637178092572448,2.0,8.4,True,43.680441,-79.337798,579.0,146.0,41.0
60,52418b0b7e48222eea81d2d2,/v3/places/52418b0b7e48222eea81d2d2,Pukka,0.9205299632105797,3.0,9.2,True,43.68112163005123,-79.42925333976746,29.0,65.0,27.0
61,4ae5077ef964a52018a021e3,/v3/places/4ae5077ef964a52018a021e3,St. Louis Bar and Grill,0.9660278426243935,2.0,7.5,False,43.701556,-79.397534,129.0,167.0,45.0
62,4ad4c05ef964a520cbf620e3,/v3/places/4ad4c05ef964a520cbf620e3,Steam Whistle Brewing,0.9908270897246294,1.0,9.3,True,43.641025,-79.385267,1238.0,885.0,143.0
63,574b4b88cd10af18a047f226,/v3/places/574b4b88cd10af18a047f226,Mascot Brewery Beer Garden,0.9844408863683587,2.0,7.1,False,43.647355,-79.386976,48.0,14.0,2.0
66,4d892556401a224b9eb38618,/v3/places/4d892556401a224b9eb38618,Town Crier Pub,0.9846731119449503,2.0,8.3,False,43.648185,-79.39024,316.0,320.0,86.0
67,5723e997498e113c968a7411,/v3/places/5723e997498e113c968a7411,Bandit Brewery,0.9595866384736669,2.0,8.6,False,43.652671,-79.449629,314.0,114.0,23.0
68,573a9a0fcd108d86ecfde50b,/v3/places/573a9a0fcd108d86ecfde50b,Henderson Brewing Co,0.964988938729115,2.0,8.3,True,43.653662,-79.4453,128.0,58.0,5.0
69,573409b8498e8b2de4feee14,/v3/places/573409b8498e8b2de4feee14,Halo Brewery,0.9362296344280528,2.0,7.4,False,43.661711,-79.446545,125.0,52.0,8.0
71,4aedc9d1f964a520ecce21e3,/v3/places/4aedc9d1f964a520ecce21e3,The Dizzy,0.9076842221054304,3.0,8.3,True,43.648296,-79.449581,32.0,39.0,24.0
76,59bacc07a4236259f0fbf005,/v3/places/59bacc07a4236259f0fbf005,Northern Maverick Brewing Co,0.9743390737866213,2.0,7.5,False,43.644967,-79.402863,217.0,49.0,7.0
77,4dcb3ddefa76d745f0514d24,/v3/places/4dcb3ddefa76d745f0514d24,WVRST,0.9596844176638107,2.0,8.3,True,43.644181,-79.40054,1049.0,743.0,183.0
78,4fcc0dd177167574f0de38d5,/v3/places/4fcc0dd177167574f0de38d5,Bar Hop,0.9722429323979124,2.0,8.7,True,43.645579,-79.393658,1127.0,463.0,109.0
79,4ae338e1f964a520e39121e3,/v3/places/4ae338e1f964a520e39121e3,Le Select Bistro,0.9835486512582959,2.0,8.9,False,43.643777,-79.39683,273.0,339.0,82.0
80,4c10116ace57c928bd4781d2,/v3/places/4c10116ace57c928bd4781d2,Beast Restaurant,0.9225955486023687,2.0,8.5,False,43.644131,-79.405861,205.0,209.0,71.0
81,4ac378c8f964a5206c9b20e3,/v3/places/4ac378c8f964a5206c9b20e3,Old York Bar & Grill,0.9434591832993143,2.0,8.1,False,43.641897,-79.406486,64.0,72.0,30.0
82,5a2c772450a6f0229d83d923,/v3/places/5a2c772450a6f0229d83d923,Akira Back Toronto,0.9335101507021768,2.0,8.7,False,43.645275,-79.392441,36.0,20.0,8.0
83,4ad4c061f964a520adf720e3,/v3/places/4ad4c061f964a520adf720e3,Rogers Centre,0.9999511104049281,3.0,8.7,True,43.641113,-79.38967,9371.0,2724.0,301.0
84,58ae24a8f2299529b361e0f9,/v3/places/58ae24a8f2299529b361e0f9,Bang Sue Bar,0.9196743952968209,3.0,7.8,False,43.646428,-79.39356,35.0,13.0,1.0
85,5993586c31fd14044089f8c5,/v3/places/5993586c31fd14044089f8c5,Kensington Brewing Co,0.8703325714704768,2.0,7.3,False,43.656441,-79.402543,104.0,42.0,7.0
90,506f3aa3e4b0b0ed3e1dc405,/v3/places/506f3aa3e4b0b0ed3e1dc405,Indie Alehouse,0.9392546781231285,2.0,8.9,True,43.665549,-79.465448,580.0,261.0,65.0
93,5f7f6d31ebfa4e4c48adae7d,/v3/places/5f7f6d31ebfa4e4c48adae7d,Collective Arts,0.9529804319395725,2.0,8.3,False,43.651873,-79.407471,73.0,9.0,2.0
96,516da5e0e4b0ad66584cf170,/v3/places/516da5e0e4b0ad66584cf170,Amsterdam BrewHouse,0.9934976838554335,2.0,8.3,False,43.63797,-79.384828,1063.0,914.0,190.0
101,4b8fd614f964a520b56433e3,/v3/places/4b8fd614f964a520b56433e3,Labatt Breweries of Canada,0.8246635784739113,2.0,7.2,False,43.63884,-79.380573,11.0,13.0,2.0
103,4be0b04f4f15c9287a1bcc0b,/v3/places/4be0b04f4f15c9287a1bcc0b,La Palette,0.958144395419045,4.0,8.3,False,43.647902,-79.401087,114.0,133.0,47.0
110,4f7891c7e4b0b9643b73e08d,/v3/places/4f7891c7e4b0b9643b73e08d,Bellwoods Brewery,0.9570993803243825,3.0,9.3,False,43.647131,-79.420177,1095.0,640.0,123.0
111,4fe54620e4b067dfbe1dc838,/v3/places/4fe54620e4b067dfbe1dc838,Get Well,0.9352701761247663,2.0,7.9,True,43.649249,-79.421918,177.0,213.0,44.0
113,4add090ff964a520a66321e3,/v3/places/4add090ff964a520a66321e3,Brass Taps Pizza Pub,0.905973086277913,1.0,6.8,False,43.653765,-79.426194,9.0,19.0,9.0
117,4adf957df964a520cc7b21e3,/v3/places/4adf957df964a520cc7b21e3,Granite Brewery,0.9783907989782075,2.0,7.8,True,43.707916,-79.389609,174.0,140.0,48.0
118,4af46f31f964a5206af221e3,/v3/places/4af46f31f964a5206af221e3,The Rose & Crown,0.9390102301477689,2.0,6.8,False,43.708506,-79.398503,102.0,105.0,33.0
119,4adf422af964a520d77821e3,/v3/places/4adf422af964a520d77821e3,Duke of Kent,0.9800286004131171,2.0,6.5,True,43.707899,-79.398359,127.0,149.0,37.0
122,541ed0a3498e7ff705517bcd,/v3/places/541ed0a3498e7ff705517bcd,Louis Cifer Brew Works,0.9617561142549836,2.0,8.0,True,43.677514,-79.351134,155.0,91.0,18.0
124,4ae603a5f964a52010a421e3,/v3/places/4ae603a5f964a52010a421e3,The Loose Moose Tap & Grill,0.99451825415256,2.0,7.7,True,43.64533,-79.383943,519.0,445.0,106.0
126,4bd36093046076b0ecf17571,/v3/places/4bd36093046076b0ecf17571,Castro's Lounge,0.9503648386032243,2.0,7.1,True,43.671221,-79.295045,79.0,48.0,33.0
127,4b083628f964a5205f0623e3,/v3/places/4b083628f964a5205f0623e3,The Feathers Pub,0.9514770768911106,1.0,7.6,False,43.680635,-79.287451,141.0,37.0,14.0
128,583c921702b60e012fae6e7b,/v3/places/583c921702b60e012fae6e7b,Liberty Commons at Big Rock Brewery,0.9641822604104282,1.0,7.7,True,43.638425,-79.421027,86.0,76.0,12.0
132,53d80fbd498ef87cc8688890,/v3/places/53d80fbd498ef87cc8688890,Local Liberty Village,0.9705440189691629,3.0,7.9,False,43.638448,-79.419162,112.0,181.0,33.0
133,4ae4e208f964a520199f21e3,/v3/places/4ae4e208f964a520199f21e3,Nunu Ethopian Fusion,0.9085703460161091,2.0,7.7,False,43.642965,-79.425727,13.0,41.0,17.0
134,4c38fb463849c9286a85c0b1,/v3/places/4c38fb463849c9286a85c0b1,Drake Lounge,0.326918611046604,3.0,7.2,False,43.643275,-79.424561,104.0,65.0,11.0
135,4dbb2d7a6e815ab0de64d555,/v3/places/4dbb2d7a6e815ab0de64d555,Ontario Spring Water Sake Co,0.8305119962843908,2.0,7.0,False,43.649827,-79.359836,75.0,44.0,13.0
136,4af9fc95f964a520ca1522e3,/v3/places/4af9fc95f964a520ca1522e3,Mill Street Brew Pub,0.9666389625627926,2.0,8.0,False,43.650541,-79.3585,1132.0,815.0,217.0
142,4ad7998df964a5209e0c21e3,/v3/places/4ad7998df964a5209e0c21e3,Rhino Bar & Grill Inc,0.960209980810834,1.0,6.3,False,43.641714,-79.430575,256.0,195.0,81.0
143,4ada126ff964a520041e21e3,/v3/places/4ada126ff964a520041e21e3,Allen's,0.9290673087500153,1.0,7.9,True,43.6764,-79.357225,96.0,144.0,52.0
149,4af0b6fcf964a5207ade21e3,/v3/places/4af0b6fcf964a5207ade21e3,Sarah's Cafe & Bar,0.8616913355415133,1.0,6.3,False,43.682848,-79.326999,45.0,39.0,17.0
158,580a459338faf1db4438ba33,/v3/places/580a459338faf1db4438ba33,Goodfellas Wood Oven Pizza,0.9194360585208453,2.0,7.3,False,43.64835,-79.486381,3.0,16.0,2.0
166,55569b59498ec5aeca07911e,/v3/places/55569b59498ec5aeca07911e,Rainhard Brewing Co,0.9404830291993107,2.0,8.3,False,43.672607,-79.478699,110.0,25.0,4.0
167,5a4eefd6666116293fc48635,/v3/places/5a4eefd6666116293fc48635,Junction Craft Brewing,0.9713995868829216,2.0,8.3,False,43.673176,-79.478603,50.0,10.0,3.0
168,584c4d050319b8682aa88aab,/v3/places/584c4d050319b8682aa88aab,Shacklands Brewing,0.9844347751689747,2.0,8.0,False,43.672875,-79.478882,46.0,17.0,4.0
173,4aeb1c5ff964a5207bbe21e3,/v3/places/4aeb1c5ff964a5207bbe21e3,Great Lakes Brewing Company Inc,0.981452509869587,2.0,8.7,True,43.62301,-79.505047,191.0,75.0,17.0
175,5594243c498e123564a4fa94,/v3/places/5594243c498e123564a4fa94,Muddy York Brewing Co,0.9845325543591186,2.0,7.9,True,43.712438,-79.312203,85.0,12.0,3.0
179,4e569dfd1495eb38e20ac5c5,/v3/places/4e569dfd1495eb38e20ac5c5,The Monk's Kettle,0.9680934280161825,3.0,8.1,False,43.646678,-79.513693,45.0,40.0,11.0
181,50953b97e4b054dd345eaa15,/v3/places/50953b97e4b054dd345eaa15,Amsterdam Brewery,0.9763618807827225,2.0,8.6,False,43.706394,-79.357118,70.0,60.0,13.0
183,50ba3296e4b054161c387a8d,/v3/places/50ba3296e4b054161c387a8d,Corks Beer & Wine Bars,0.7073285503012822,2.0,6.9,False,43.706605,-79.359632,4.0,9.0,5.0
185,59a6bfa8840fc25de9f79522,/v3/places/59a6bfa8840fc25de9f79522,Amsterdam Barrel House,0.9674578632802474,2.0,6.8,False,43.70604,-79.361227,33.0,23.0,7.0
187,4b155081f964a520b4b023e3,/v3/places/4b155081f964a520b4b023e3,Scotiabank Arena,0.9994255472579049,3.0,8.7,True,43.643485,-79.379209,8226.0,2607.0,285.0
